file;argcount;prob;ca_sol_n;ca_time_ns;m_sol_n;m_time_ns
Small-result-b33;;;2;34006900;2;26005500
A-4-afinput_exp_acyclic_indvary1_step2_batch_yyy07;;;1;32642364200;1;3703831700
A-2-BA_200_30_2;;;384;63014300;384;44009900
T-2-grd_1697_5_7;;;1;206055300;1;235050000
B-3-stb_763_492;;;2;1653370800;2;1875421100
Small-result-b99;;;3;42907900;3;35008000
B-1-afinput_exp_acyclic_depvary_step5_batch_yyy08;;;1;1624364800;1;355390700
A-3-afinput_exp_cycles_depvary_step4_batch_yyy05;;;1;8670851800;1;1328298400
A-1-stb_437_137;;;5;47010300;5;35008400
Small-result-b3;;;2;36008300;2;26005700
Small-result-b100;;;3;40009800;3;32006900
C-2-afinput_exp_acyclic_indvary1_step2_batch_yyy07;;;1;31730471700;1;3700829000
C-1-WS_200_28_70_10;;;1;1520341800;1;2429814000
Small-result-b53;;;3;38007900;3;30006900
A-2-grd_1697_5_7;;;1;237053700;1;259056700
B-1-stb_199_128;;;4;37008600;4;27006100
A-1-brookings-or-us.gml.50;;;3;32006700;3;32007700
T-1-BA_100_10_3;;;12;38010100;12;28006300
C-1-BA_80_20_4;;;4;35159700;4;29005200
B-3-stb_696_412;;;6;1175307400;6;2206201300
B-3-stb_380_405;;;1;2618517000;1;4586029800
T-1-caravan-airport-transportation_20151216_1604.gml.20;;;4;34007400;4;27006000
n128p5q2_ve;;;7;165690100;7;290065000
Small-result-b23;;;2;36008400;2;30007400
Small-result-b84;;;3;35007100;3;29007200
B-3-WS_300_16_90_30;;;2;3234427700;2;4827082500
C-1-calaveras-transit_20151216_1707.gml.50;;;375;69023100;375;43002200
C-2-afinput_exp_cycles_depvary_step4_batch_yyy05;;;1;8809987200;1;1331298700
T-1-ferry2.pfile-L2-C4-07.pddl.2.cnf;;;14;45009800;14;34007400
Small-result-b28;;;2;205045600;2;173038700
T-1-stb_280_229;;;3;43008800;3;35006700
Small-result-b106;;;3;41008200;3;32007700
Small-result-b48;;;4;38008400;4;30007100
Medium-result-b23;;;9;2906652300;9;763170900
Small-result-b31;;;2;37008700;2;28006400
n192p5q2_ve;;;16;2021453000;16;3128703200
A-2-BA_180_20_1;;;512;68015300;512;48011500
Small-result-b46;;;5;39006500;5;29006900
Small-result-b85;;;3;37008800;3;28005700
Small-result-b63;;;4;35008300;4;30005900
B-1-grd_3018_3_7;;;1;381335800;1;484108400
A-1-stb_190_70;;;2;33007500;2;28006600
T-4-grd_8020_3_4;;;1;4087917300;1;3859199900
T-2-admbuster_10000;;;1;129029600;1;108024500
C-1-grd_1222_5_4;;;1;108670800;1;136032200
B-3-stb_457_193;;;2;2867668300;2;5879519600
T-1-admbuster_1000;;;1;45008800;1;35007400
Small-result-b64;;;4;33006900;4;29006400
B-3-stb_590_330;;;3;768695700;3;1153002900
A-3-bw2.pfile-4-02.pddl.2.cnf;;;69;243054200;69;64014600
Small-result-b4;;;2;37611700;2;28003300
A-2-stb_547_485;;;6;4090037100;6;6360532100
A-1-grd_1790_4_8;;;1;176039700;1;234053000
Medium-result-b16;;;8;866194000;8;269059300
T-3-afinput_exp_cycles_depvary_step3_batch_yyy08;;;1;7192393900;1;1138054100
A-2-grd_5178_1_1;;;1;324511500;1;480999900
T-1-admbuster_2000;;;1;43632000;1;42009700
B-1-stb_138_162;;;5;41009500;5;33007800
T-3-afinput_exp_cycles_indvary1_step1_batch_yyy03;;;4;3234391700;4;606135400
Small-result-b61;;;4;37008700;4;30005600
Small-result-b101;;;3;47010000;3;34007100
Small-result-b81;;;3;36008100;3;28006400
C-1-grd_3018_3_7;;;1;386763700;1;472106700
